hostname, timestamp, cpu1min, cpu5min, cpu15min
localhost, 04:23:15 PM, 0.15,  0.07,  0.05
192.168.119.58, 04:23:17 PM, 0.00,  0.01,  0.05
192.168.119.252, 04:23:17 PM, 0.00,  0.01,  0.05
localhost, 04:24:15 PM, 0.09,  0.07,  0.05
192.168.119.58, 04:24:19 PM, 0.16,  0.05,  0.06
192.168.119.252, 04:24:19 PM, 0.00,  0.01,  0.05
localhost, 04:25:16 PM, 0.30,  0.15,  0.08
192.168.119.58, 04:25:21 PM, 0.06,  0.04,  0.05
192.168.119.252, 04:25:21 PM, 0.00,  0.01,  0.05
localhost, 04:26:16 PM, 0.16,  0.13,  0.08
192.168.119.58, 04:26:23 PM, 0.02,  0.03,  0.05
192.168.119.252, 04:26:23 PM, 0.00,  0.01,  0.05
192.168.119.58, 04:27:25 PM, 0.01,  0.03,  0.05
localhost, 04:27:16 PM, 0.22,  0.15,  0.09
192.168.119.252, 04:27:25 PM, 0.08,  0.03,  0.05
